#Δ (мм),Интенсивность
0.1014040140401404,0.31388874080964396
0.10141301413014131,0.31374092193109815
0.1014220142201422,0.3135935297963147
0.1014310143101431,0.3134465638615602
0.10144001440014401,0.3133000235846809
0.1014490144901449,0.3131539084251292
0.1014580145801458,0.3130082178439481
0.10146701467014671,0.3128629513037551
0.1014760147601476,0.31271810826876834
0.1014850148501485,0.3125736882047865
0.10149401494014941,0.31242969057919634
0.10150301503015031,0.31228611486095204
0.1015120151201512,0.3121429605206014
0.1015210152101521,0.3120002270302657
0.101530015300153,0.31185791386364253
0.1015390153901539,0.3117160204960035
0.10154801548015481,0.3115745464041933
0.10155701557015571,0.3114334910666272
0.1015660156601566,0.3112928539632944
0.1015750157501575,0.3111526345757377
0.1015840158401584,0.31101283238707905
0.1015930159301593,0.31087344688199975
